loan_id,origination_month,original_balance,interest_rate,loan_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage_year
LN0003094,2019-11,179000,3.125,120,780+,71-80,<=28,ID,Purchase,Primary,Multi-Family,ServicerD,2019
LN0003095,2021-02,236000,2.875,180,620-659,71-80,,NE,Purchase,Primary,Multi-Family,ServicerA,2021
LN0003096,2021-11,413000,4.0,360,740-779,61-70,37-43,NV,Purchase,Secondary,Co-op,ServicerC,2021
LN0003097,2018-06,176000,2.875,120,780+,<=60,37-43,NE,Purchase,Primary,PUD,ServicerC,2018
LN0003098,2022-12,128000,3.25,180,620-659,91-95,37-43,NH,Purchase,Primary,Single Family,ServicerB,2022
LN0003099,2021-06,381000,3.125,360,<620,71-80,44-50,KS,Purchase,Primary,PUD,ServicerA,2021
LN0003100,2018-10,177000,5.25,360,700-739,<=60,37-43,NE,Cash-Out Refinance,Primary,Multi-Family,ServicerD,2018
LN0003101,2020-09,166000,4.99,360,620-659,<=60,37-43,MS,Purchase,Primary,PUD,ServicerE,2020
LN0003102,2018-12,241000,3.375,360,740-779,<=60,37-43,WY,Purchase,Primary,Co-op,ServicerC,2018
LN0003103,2018-05,56000,2.625,360,780+,91-95,<=28,NH,Refinance,Primary,Single Family,ServicerE,2018
LN0003104,2018-04,358000,7.125,360,700-739,96-100,37-43,ID,Purchase,Primary,Co-op,ServicerD,2018
LN0003105,2022-02,254000,3.5,180,660-699,81-90,>50,KS,Cash-Out Refinance,Primary,Condo,ServicerA,2022
LN0003106,2018-12,290000,3.875,360,700-739,81-90,44-50,KS,Refinance,Primary,Multi-Family,ServicerB,2018
LN0003107,2019-09,62000,8.625,360,740-779,71-80,29-36,NE,Other,Primary,PUD,ServicerC,2019
LN0003108,2021-04,206000,6.125,240,<620,96-100,44-50,,Purchase,Primary,Multi-Family,ServicerA,2021
LN0003109,2019-09,156000,2.79,360,700-739,<=60,37-43,DE,Refinance,Primary,Multi-Family,ServicerC,2019
LN0003110,2019-10,161000,3.25,360,740-779,61-70,29-36,ID,Refinance,Investment,Multi-Family,ServicerA,2019
LN0003111,2019-09,123000,5.0,360,740-779,71-80,44-50,NE,Cash-Out Refinance,Primary,Condo,ServicerA,2019
LN0003112,2022-07,112000,5.75,360,660-699,71-80,37-43,NE,Refinance,Investment,PUD,ServicerC,2022
LN0003113,2018-11,217000,6.5,360,740-779,>100,29-36,NE,Purchase,Primary,Co-op,ServicerE,2018
LN0003114,2022-06,151000,3.75,360,620-659,<=60,29-36,KS,Purchase,Primary,Single Family,ServicerB,2022
LN0003115,2021-12,87000,4.74,180,620-659,81-90,37-43,RI,Cash-Out Refinance,Primary,Co-op,ServicerA,2021
LN0003116,2021-02,244000,5.89,360,780+,81-90,44-50,,Purchase,Primary,Single Family,ServicerA,2021
LN0003117,2019-03,250000,3.375,360,740-779,91-95,37-43,ID,Cash-Out Refinance,Investment,Single Family,ServicerA,2019
LN0003118,2022-07,338000,5.75,120,<620,<=60,44-50,ID,Refinance,Primary,Multi-Family,ServicerD,2022
LN0003119,2022-06,256000,7.0,360,660-699,<=60,37-43,WV,Purchase,Primary,Multi-Family,ServicerE,2022
LN0003120,2019-09,90000,6.25,360,660-699,96-100,<=28,SD,Purchase,Primary,Condo,ServicerA,2019
LN0003121,2022-08,180000,2.722,360,660-699,<=60,>50,NM,Purchase,Primary,Single Family,ServicerE,2022
LN0003122,2020-06,121000,4.875,360,660-699,91-95,<=28,NE,Cash-Out Refinance,Primary,Condo,ServicerE,2020
LN0003123,2022-06,237000,4.5,180,<620,71-80,44-50,MT,Refinance,Primary,Single Family,ServicerA,2022
LN0003124,2020-07,196000,5.49,360,700-739,91-95,37-43,NE,Cash-Out Refinance,Primary,Single Family,ServicerE,2020
LN0003125,2021-12,92000,2.75,360,740-779,,37-43,WV,Purchase,Primary,PUD,ServicerE,2021
LN0003126,2020-10,143000,5.375,120,,71-80,29-36,WY,Purchase,Primary,Condo,ServicerB,2020
LN0003127,2019-10,97000,3.0,360,740-779,91-95,44-50,AK,Purchase,Primary,Multi-Family,ServicerD,2019
LN0003128,2022-04,233000,2.992,360,620-659,71-80,<=28,NE,Refinance,Primary,Single Family,ServicerB,2022
LN0003129,2021-09,227000,6.625,360,780+,71-80,44-50,WY,Cash-Out Refinance,Primary,Multi-Family,ServicerC,2021
LN0003130,2020-06,84000,3.625,180,780+,91-95,29-36,NE,Purchase,Primary,Single Family,ServicerE,2020
LN0003131,2021-08,112000,3.625,360,740-779,61-70,>50,ND,Purchase,Primary,Co-op,ServicerD,2021
LN0003132,2021-01,206000,2.625,360,780+,<=60,29-36,NM,Purchase,Primary,Co-op,ServicerB,2021
LN0003133,2018-05,319000,3.125,360,780+,61-70,,ID,Purchase,Primary,Single Family,ServicerE,2018
LN0003134,2022-01,132000,7.0,360,700-739,<=60,<=28,NH,Purchase,Primary,Co-op,ServicerD,2022
LN0003135,2022-03,77000,2.875,240,660-699,<=60,44-50,SD,Purchase,Primary,Multi-Family,ServicerA,2022
LN0003136,2020-01,675000,2.5,360,740-779,<=60,37-43,KS,Purchase,Primary,Condo,ServicerA,2020
LN0003137,2020-04,380000,6.75,240,740-779,71-80,44-50,ID,Refinance,Primary,PUD,ServicerA,2020
LN0003138,2019-06,114000,3.625,360,,<=60,29-36,NE,Refinance,Primary,Single Family,ServicerB,2019
LN0003139,2018-12,144000,3.25,360,700-739,71-80,29-36,ND,Purchase,Primary,Multi-Family,ServicerA,2018
LN0003140,2020-09,209000,4.375,240,<620,<=60,37-43,MT,Purchase,Primary,Condo,ServicerD,2020
LN0003141,2022-09,84000,6.75,360,660-699,<=60,44-50,NE,Purchase,Primary,Multi-Family,ServicerC,2022
LN0003142,2022-10,184000,3.25,180,780+,81-90,37-43,NH,Refinance,Primary,PUD,ServicerC,2022
LN0003143,2019-02,109000,3.99,360,700-739,71-80,29-36,ID,Refinance,Primary,PUD,ServicerC,2019
LN0003144,2018-08,166000,2.625,360,700-739,96-100,37-43,AK,Purchase,Primary,Multi-Family,ServicerE,2018
LN0003145,2020-03,175000,6.375,180,660-699,<=60,>50,DE,Refinance,Primary,Single Family,ServicerA,2020
LN0003146,2019-05,120000,7.0,360,660-699,96-100,,ND,Cash-Out Refinance,Primary,Co-op,ServicerC,2019
LN0003147,2020-10,77000,3.125,360,780+,<=60,37-43,NM,Purchase,Primary,Multi-Family,ServicerD,2020
LN0003148,2019-04,80000,2.5,120,740-779,71-80,37-43,HI,Refinance,Primary,Co-op,ServicerB,2019
LN0003149,2020-05,164000,6.0,360,740-779,96-100,37-43,WY,Refinance,Investment,Condo,ServicerC,2020
LN0003150,2018-10,132000,2.875,360,700-739,<=60,29-36,HI,Purchase,Primary,Co-op,ServicerD,2018
LN0003151,2021-10,77000,3.75,180,740-779,61-70,37-43,VT,Purchase,Secondary,Condo,ServicerB,2021
LN0003152,2019-12,303000,5.49,360,660-699,96-100,29-36,MT,Purchase,Primary,PUD,ServicerB,2019
LN0003153,2018-12,120000,6.615,360,,96-100,<=28,RI,Cash-Out Refinance,Investment,PUD,ServicerC,2018
LN0003154,2020-08,680000,2.875,360,700-739,71-80,29-36,NH,Purchase,Primary,Co-op,ServicerE,2020
LN0003155,2019-08,334000,3.25,360,700-739,71-80,37-43,MS,Purchase,Primary,Co-op,ServicerD,2019
LN0003156,2022-02,402000,3.75,180,740-779,91-95,>50,ID,Purchase,Primary,Multi-Family,ServicerC,2022
LN0003157,2022-11,153000,7.125,180,780+,61-70,44-50,HI,Refinance,Primary,Multi-Family,ServicerA,2022
LN0003158,2020-01,88000,5.5,180,<620,81-90,37-43,RI,Purchase,Primary,Multi-Family,ServicerB,2020
LN0003159,2022-07,149000,3.187,360,780+,61-70,44-50,NE,Purchase,Primary,Co-op,ServicerB,2022
LN0003160,2018-01,80000,3.875,240,660-699,61-70,<=28,NE,Refinance,Primary,Condo,ServicerB,2018
LN0003161,2020-06,168000,2.625,360,700-739,61-70,37-43,MS,Purchase,Primary,PUD,ServicerB,2020
LN0003162,2021-07,206000,2.75,360,<620,>100,<=28,RI,Cash-Out Refinance,Primary,PUD,ServicerC,2021
LN0003163,2018-04,43000,2.75,360,660-699,71-80,>50,KS,Purchase,Primary,Co-op,ServicerE,2018
LN0003164,2022-01,94000,3.25,360,700-739,96-100,44-50,ND,Purchase,Primary,Condo,ServicerB,2022
LN0003165,2021-01,164000,5.95,360,<620,91-95,29-36,HI,Purchase,Primary,PUD,ServicerE,2021
LN0003166,2020-09,221000,4.625,120,700-739,71-80,37-43,ID,Refinance,Primary,Multi-Family,ServicerA,2020
LN0003167,2018-06,116000,6.5,180,780+,<=60,>50,WV,Refinance,Primary,Condo,ServicerA,2018
LN0003168,2022-10,44000,3.99,360,620-659,<=60,37-43,WV,Cash-Out Refinance,Primary,Co-op,ServicerD,2022
LN0003169,2019-06,83000,4.0,180,740-779,96-100,>50,DE,Purchase,Primary,PUD,ServicerB,2019
LN0003170,2022-12,119000,2.625,360,700-739,81-90,,RI,Refinance,Primary,Single Family,ServicerE,2022
LN0003171,2019-03,100000,2.99,360,740-779,<=60,37-43,KS,Refinance,Primary,Co-op,ServicerE,2019
LN0003172,2018-11,349000,7.625,360,660-699,71-80,44-50,DE,Purchase,Primary,Condo,ServicerD,2018
LN0003173,2021-08,103000,3.99,360,620-659,91-95,29-36,NH,Cash-Out Refinance,Primary,PUD,ServicerD,2021
LN0003174,2022-10,72000,3.75,360,620-659,<=60,,NH,Purchase,Primary,Single Family,ServicerB,2022
LN0003175,2022-02,130000,2.5,360,<620,96-100,44-50,WV,Purchase,Primary,Multi-Family,ServicerC,2022
LN0003176,2019-07,195000,2.875,360,620-659,<=60,44-50,DE,Refinance,Primary,PUD,ServicerB,2019
LN0003177,2020-07,468000,2.75,360,740-779,<=60,29-36,NM,Purchase,Investment,Single Family,ServicerD,2020
LN0003178,2019-03,114000,2.5,360,780+,<=60,,NM,Purchase,Primary,Condo,ServicerE,2019
LN0003179,2020-02,44000,3.875,120,740-779,61-70,37-43,NH,Purchase,Primary,Single Family,ServicerE,2020
LN0003180,2021-10,206000,4.5,360,740-779,71-80,,NM,Purchase,Primary,Condo,ServicerE,2021
LN0003181,2018-09,90000,2.625,180,620-659,<=60,<=28,NE,Refinance,Investment,Multi-Family,ServicerA,2018
LN0003182,2021-05,453000,5.43,360,660-699,71-80,44-50,ID,Refinance,Primary,Multi-Family,ServicerA,2021
LN0003183,2018-07,102000,6.75,360,660-699,91-95,29-36,WY,Purchase,Primary,PUD,ServicerE,2018
LN0003184,2022-07,197000,4.75,360,660-699,>100,>50,VT,Refinance,Primary,Multi-Family,ServicerB,2022
LN0003185,2019-03,275000,3.75,360,700-739,<=60,37-43,ID,Purchase,Investment,Multi-Family,ServicerD,2019
LN0003186,2021-09,173000,6.75,360,700-739,61-70,44-50,ID,Cash-Out Refinance,Investment,Single Family,ServicerD,2021
LN0003187,2019-08,52000,7.75,360,660-699,61-70,37-43,NH,Refinance,Primary,Condo,ServicerE,2019
LN0003188,2021-11,181000,4.375,360,660-699,,44-50,RI,Purchase,Primary,Multi-Family,ServicerA,2021
LN0003189,2022-04,359000,8.75,180,780+,71-80,<=28,NM,Refinance,Primary,Co-op,ServicerE,2022
LN0003190,2022-10,141000,3.75,120,740-779,96-100,37-43,ID,Refinance,Secondary,Single Family,ServicerD,2022
LN0003191,2022-04,152000,6.875,360,660-699,71-80,>50,AK,Purchase,Primary,Condo,ServicerB,2022
LN0003192,2019-02,274000,1.74,360,780+,81-90,<=28,KS,Refinance,Primary,Co-op,ServicerC,2019
LN0003193,2020-07,98000,6.95,360,780+,96-100,37-43,NV,Cash-Out Refinance,Primary,Co-op,ServicerE,2020
LN0003194,2020-11,211000,4.5,360,660-699,71-80,>50,NH,Refinance,Primary,Single Family,ServicerB,2020
LN0003195,2022-02,166000,2.625,360,660-699,96-100,44-50,WY,Purchase,Primary,Condo,ServicerA,2022
LN0003196,2018-11,173000,7.125,360,700-739,<=60,37-43,NE,Refinance,Primary,Multi-Family,ServicerD,2018
LN0003197,2021-07,171000,3.0,240,780+,91-95,37-43,RI,Purchase,Primary,Co-op,ServicerD,2021
LN0003198,2020-06,158000,2.875,360,780+,<=60,,NM,Other,Primary,Co-op,ServicerA,2020
LN0003199,2019-06,86000,2.5,120,620-659,61-70,37-43,KS,Purchase,Primary,Condo,ServicerB,2019
LN0003200,2020-10,99000,5.75,180,700-739,81-90,37-43,VT,Refinance,Primary,PUD,ServicerE,2020
LN0003201,2018-05,145000,3.0,360,,<=60,44-50,ID,Purchase,Secondary,Condo,ServicerE,2018
LN0003202,2019-06,302000,2.875,360,700-739,91-95,37-43,VT,Cash-Out Refinance,Primary,Multi-Family,ServicerC,2019
LN0003203,2022-08,92000,3.125,360,620-659,91-95,44-50,ID,Refinance,Primary,Co-op,ServicerC,2022
LN0003204,2022-03,145000,3.125,180,780+,61-70,<=28,DE,Refinance,Primary,Multi-Family,ServicerB,2022
LN0003205,2021-01,348000,6.5,360,740-779,96-100,,NE,Other,Primary,PUD,ServicerA,2021
LN0003206,2019-04,226000,3.375,360,780+,<=60,>50,ND,Cash-Out Refinance,Primary,Single Family,ServicerC,2019
LN0003207,2020-03,265000,8.55,120,780+,71-80,<=28,NM,Refinance,Primary,Multi-Family,ServicerD,2020
LN0003208,2018-02,92000,4.0,180,740-779,71-80,37-43,SD,Cash-Out Refinance,Primary,Condo,ServicerE,2018
LN0003209,2018-04,111000,3.0,360,700-739,96-100,37-43,WY,Cash-Out Refinance,Primary,Co-op,ServicerC,2018
LN0003210,2022-03,375000,3.25,360,740-779,71-80,37-43,NM,Refinance,Primary,Multi-Family,ServicerC,2022
LN0003211,2020-01,315000,2.75,360,620-659,71-80,44-50,VT,Purchase,Secondary,Multi-Family,ServicerB,2020
LN0003212,2020-12,106000,7.0,360,740-779,71-80,<=28,NM,Purchase,Primary,PUD,ServicerA,2020
LN0003213,2018-05,77000,2.875,360,620-659,91-95,<=28,MT,Cash-Out Refinance,Primary,Co-op,ServicerE,2018
LN0003214,2021-08,76000,6.249,180,740-779,61-70,44-50,ID,Cash-Out Refinance,Primary,Co-op,ServicerE,2021
LN0003215,2018-06,114000,4.125,120,660-699,61-70,44-50,ND,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2018
LN0003216,2019-12,68000,2.25,360,620-659,<=60,37-43,ID,Purchase,Primary,PUD,ServicerB,2019
LN0003217,2022-04,223000,3.5,360,620-659,96-100,37-43,SD,Purchase,Primary,Single Family,ServicerD,2022
LN0003218,2019-09,95000,2.375,360,<620,<=60,44-50,SD,Purchase,Primary,PUD,ServicerB,2019
LN0003219,2022-05,86000,6.625,180,740-779,,29-36,ID,Refinance,Primary,Multi-Family,ServicerD,2022
LN0003220,2022-08,251000,3.25,360,740-779,<=60,>50,RI,Cash-Out Refinance,Primary,Condo,ServicerA,2022
LN0003221,2022-12,78000,2.25,360,700-739,<=60,37-43,DE,Purchase,Primary,Co-op,ServicerC,2022
LN0003222,2019-12,52000,2.375,360,620-659,>100,44-50,AK,Cash-Out Refinance,Primary,Co-op,ServicerC,2019
LN0003223,2018-07,78000,3.75,360,620-659,96-100,44-50,NE,Cash-Out Refinance,Primary,PUD,ServicerA,2018
LN0003224,2022-11,97000,7.55,360,<620,81-90,,ND,Purchase,Primary,PUD,ServicerD,2022
LN0003225,2022-01,303000,2.75,360,620-659,96-100,44-50,NM,Refinance,Primary,Multi-Family,ServicerD,2022
LN0003226,2020-03,378000,2.75,180,780+,91-95,37-43,WY,Refinance,Primary,PUD,ServicerC,2020
LN0003227,2018-05,268000,4.24,360,660-699,81-90,37-43,NH,Refinance,Primary,Condo,ServicerE,2018
LN0003228,2019-12,99000,3.375,360,660-699,<=60,44-50,NE,Purchase,Investment,Condo,ServicerC,2019
LN0003229,2022-05,69000,2.25,180,620-659,<=60,44-50,NH,Refinance,Primary,Co-op,ServicerA,2022
LN0003230,2018-08,373000,3.375,360,660-699,81-90,<=28,,Refinance,Primary,Multi-Family,ServicerC,2018
LN0003231,2018-02,135000,3.25,360,700-739,<=60,44-50,DE,Purchase,Primary,Multi-Family,ServicerB,2018
LN0003232,2021-11,165000,2.875,360,740-779,81-90,44-50,NM,Purchase,Primary,Multi-Family,ServicerE,2021
LN0003233,2020-11,186000,3.375,360,660-699,<=60,>50,NV,Purchase,Primary,Condo,ServicerD,2020
LN0003234,2020-02,59000,6.75,360,,61-70,44-50,DE,Purchase,Primary,PUD,ServicerE,2020
LN0003235,2018-05,298000,3.5,360,700-739,61-70,>50,NH,Cash-Out Refinance,Primary,Single Family,ServicerB,2018
LN0003236,2021-04,92000,5.0,360,660-699,96-100,29-36,ND,Cash-Out Refinance,Primary,Condo,ServicerE,2021
LN0003237,2021-09,239000,3.0,360,660-699,<=60,37-43,SD,Purchase,Primary,Co-op,ServicerE,2021
LN0003238,2018-06,179000,2.75,360,780+,81-90,37-43,NM,Refinance,Primary,Co-op,ServicerE,2018
LN0003239,2021-10,63000,9.25,360,740-779,<=60,<=28,SD,Cash-Out Refinance,Primary,Co-op,ServicerC,2021
LN0003240,2022-02,253000,3.25,360,700-739,<=60,37-43,ID,Purchase,Primary,PUD,ServicerB,2022
LN0003241,2019-04,152000,3.75,180,700-739,71-80,>50,ID,Cash-Out Refinance,Investment,Co-op,ServicerD,2019
LN0003242,2022-08,279000,4.5,360,700-739,71-80,>50,MT,Refinance,Secondary,Co-op,ServicerA,2022
LN0003243,2022-12,119000,8.875,360,700-739,71-80,<=28,KS,Refinance,Primary,PUD,ServicerA,2022
LN0003244,2018-01,249000,2.75,240,740-779,<=60,37-43,NE,Purchase,Investment,Condo,ServicerA,2018
LN0003245,2019-09,78000,6.5,360,740-779,61-70,44-50,,Purchase,Primary,Co-op,ServicerD,2019
LN0003246,2020-06,94000,3.75,240,620-659,61-70,29-36,VT,Refinance,Primary,Co-op,ServicerE,2020
LN0003247,2021-07,204000,2.625,360,700-739,<=60,44-50,ND,Purchase,Primary,Multi-Family,ServicerB,2021
LN0003248,2019-01,222000,2.75,360,700-739,<=60,>50,AK,Cash-Out Refinance,Investment,Co-op,ServicerB,2019
LN0003249,2020-11,296000,3.375,360,780+,81-90,>50,ID,Purchase,Primary,Condo,ServicerD,2020
LN0003250,2020-06,99000,2.75,240,740-779,96-100,37-43,SD,Purchase,Investment,PUD,ServicerE,2020
LN0003251,2020-04,329000,2.0,360,700-739,<=60,37-43,NM,Purchase,Primary,Multi-Family,ServicerA,2020
LN0003252,2022-05,213000,4.5,360,620-659,<=60,37-43,NH,Refinance,Primary,Multi-Family,ServicerD,2022
LN0003253,2018-11,96000,2.5,180,740-779,71-80,44-50,NH,Purchase,Primary,Single Family,ServicerD,2018
LN0003254,2020-07,126000,8.625,180,620-659,81-90,<=28,ID,Purchase,Primary,Condo,ServicerC,2020
LN0003255,2018-09,93000,3.75,360,660-699,81-90,<=28,NM,Purchase,Primary,Condo,ServicerA,2018
LN0003256,2020-04,141000,3.875,360,620-659,71-80,37-43,NE,Refinance,Primary,PUD,ServicerB,2020
LN0003257,2019-06,380000,2.625,360,740-779,71-80,44-50,ID,Refinance,Primary,Multi-Family,ServicerB,2019
LN0003258,2021-11,228000,2.875,360,660-699,,44-50,ID,Refinance,Primary,Condo,ServicerD,2021
LN0003259,2019-02,51000,6.125,360,700-739,<=60,<=28,VT,Cash-Out Refinance,Primary,Co-op,ServicerE,2019
LN0003260,2021-09,206000,2.625,360,780+,<=60,44-50,SD,Purchase,Primary,Multi-Family,ServicerB,2021
LN0003261,2022-11,226000,6.875,180,660-699,71-80,37-43,WV,Refinance,Primary,Condo,ServicerE,2022
LN0003262,2019-07,71000,3.625,360,700-739,71-80,44-50,RI,Refinance,Primary,Condo,ServicerC,2019
LN0003263,2019-10,105000,6.75,360,700-739,61-70,29-36,NH,Purchase,Primary,Co-op,ServicerB,2019
LN0003264,2019-07,78000,4.0,180,<620,61-70,37-43,NM,Purchase,Primary,Single Family,ServicerC,2019
LN0003265,2020-10,317000,2.912,360,740-779,71-80,<=28,,Other,Primary,Single Family,ServicerB,2020
LN0003266,2020-08,76000,3.25,360,<620,<=60,44-50,MT,Cash-Out Refinance,Primary,Condo,ServicerB,2020
LN0003267,2022-03,378000,3.125,360,,91-95,44-50,NH,Purchase,Primary,Multi-Family,ServicerD,2022
LN0003268,2019-11,303000,2.75,360,700-739,81-90,44-50,NE,Refinance,Primary,Condo,ServicerB,2019
LN0003269,2019-10,93000,3.25,360,740-779,<=60,<=28,SD,Refinance,Primary,PUD,ServicerB,2019
LN0003270,2022-11,97000,6.25,360,740-779,71-80,>50,DE,Refinance,Primary,Multi-Family,ServicerE,2022
LN0003271,2019-03,208000,3.875,120,660-699,81-90,<=28,KS,Refinance,Primary,Single Family,ServicerC,2019
LN0003272,2020-12,154000,4.0,360,<620,96-100,44-50,NE,Purchase,Primary,Multi-Family,ServicerE,2020
LN0003273,2022-03,176000,2.125,120,740-779,<=60,37-43,AK,Purchase,Primary,Multi-Family,ServicerA,2022
LN0003274,2021-03,136000,2.875,360,700-739,96-100,37-43,ID,Purchase,Primary,PUD,ServicerC,2021
LN0003275,2022-03,135000,4.125,360,780+,71-80,37-43,NM,Purchase,Primary,Single Family,ServicerB,2022
LN0003276,2020-02,241000,3.49,240,780+,<=60,44-50,RI,Other,Primary,Condo,ServicerC,2020
LN0003277,2022-09,188000,2.75,360,780+,61-70,44-50,HI,Refinance,Primary,Multi-Family,ServicerA,2022
LN0003278,2018-03,128000,2.75,120,700-739,<=60,37-43,DE,Purchase,Primary,Multi-Family,ServicerE,2018
LN0003279,2020-03,307000,3.5,360,660-699,71-80,44-50,NE,Purchase,Primary,Co-op,ServicerB,2020
LN0003280,2018-06,155000,3.125,360,740-779,<=60,44-50,MT,Refinance,Primary,Single Family,ServicerB,2018
LN0003281,2021-07,154000,5.25,180,700-739,71-80,37-43,RI,Refinance,Primary,Co-op,ServicerA,2021
LN0003282,2020-08,249000,1.75,360,620-659,81-90,37-43,DE,Cash-Out Refinance,Primary,Condo,ServicerA,2020
LN0003283,2020-03,110000,5.0,180,780+,71-80,44-50,MS,Purchase,Primary,Multi-Family,ServicerA,2020
LN0003284,2019-02,270000,3.25,360,780+,71-80,37-43,NM,Cash-Out Refinance,Primary,Condo,ServicerB,2019
LN0003285,2019-03,55000,3.5,360,700-739,96-100,37-43,VT,Purchase,Primary,Co-op,ServicerA,2019
LN0003286,2018-10,81000,4.0,360,<620,96-100,37-43,DE,Purchase,Primary,Multi-Family,ServicerA,2018
LN0003287,2022-05,206000,2.875,180,700-739,<=60,44-50,NE,Refinance,Primary,Multi-Family,ServicerC,2022
LN0003288,2022-10,202000,1.0,360,740-779,<=60,37-43,AK,Refinance,Primary,Multi-Family,ServicerE,2022
LN0003289,2022-04,179000,4.0,360,780+,81-90,,MT,Refinance,Primary,Co-op,ServicerE,2022
LN0003290,2022-04,340000,3.74,180,660-699,91-95,37-43,ID,Refinance,Primary,Co-op,ServicerA,2022
LN0003291,2019-11,173000,2.25,180,<620,71-80,44-50,MT,Refinance,Primary,PUD,ServicerA,2019
LN0003292,2018-06,139000,3.25,360,780+,71-80,29-36,NM,Refinance,Primary,Single Family,ServicerC,2018
LN0003293,2018-12,179000,2.875,360,700-739,<=60,37-43,NE,Other,Primary,Co-op,ServicerA,2018
LN0003294,2021-03,182000,4.374,180,,91-95,37-43,SD,Refinance,Primary,PUD,ServicerD,2021
LN0003295,2022-10,221000,6.375,180,780+,<=60,37-43,NE,Refinance,Primary,PUD,ServicerE,2022
LN0003296,2021-12,167000,2.89,360,<620,71-80,44-50,MT,Refinance,Primary,Multi-Family,ServicerC,2021
LN0003297,2020-03,312000,2.875,360,740-779,<=60,44-50,NH,Refinance,Secondary,PUD,ServicerE,2020
LN0003298,2021-08,217000,7.0,360,<620,,44-50,ID,Cash-Out Refinance,Primary,PUD,ServicerD,2021
LN0003299,2021-03,243000,3.625,240,660-699,<=60,44-50,AK,Purchase,Investment,Single Family,ServicerC,2021
LN0003300,2019-04,261000,2.5,240,740-779,81-90,37-43,NE,Refinance,Primary,Single Family,ServicerD,2019
LN0003301,2019-01,68000,2.875,120,700-739,81-90,>50,NH,Refinance,Primary,Condo,ServicerB,2019
LN0003302,2021-01,179000,3.25,360,780+,71-80,,ID,Purchase,Primary,Condo,ServicerD,2021
LN0003303,2020-07,100000,4.5,360,700-739,96-100,>50,SD,Purchase,Primary,Multi-Family,ServicerC,2020
LN0003304,2019-12,123000,4.0,360,660-699,71-80,>50,SD,Refinance,Primary,PUD,ServicerE,2019
LN0003305,2019-04,112000,2.99,180,660-699,<=60,<=28,MT,Purchase,Primary,PUD,ServicerC,2019
LN0003306,2018-03,438000,5.375,360,660-699,>100,37-43,NV,Purchase,Primary,Co-op,ServicerC,2018
LN0003307,2021-10,379000,5.875,360,660-699,96-100,<=28,ID,Refinance,Primary,Multi-Family,ServicerE,2021
LN0003308,2021-12,136000,6.183,360,<620,71-80,44-50,NV,Other,Primary,Multi-Family,ServicerD,2021
LN0003309,2020-08,200000,2.25,240,660-699,61-70,44-50,MT,Refinance,Primary,Condo,ServicerD,2020
LN0003310,2019-07,33000,3.25,360,700-739,71-80,37-43,NH,Refinance,Primary,Condo,ServicerE,2019
LN0003311,2021-01,349000,3.125,360,740-779,81-90,37-43,KS,Refinance,Primary,Multi-Family,ServicerE,2021
LN0003312,2022-12,161000,4.25,120,740-779,71-80,<=28,NM,Other,Primary,Co-op,ServicerC,2022
LN0003313,2021-12,36000,5.875,360,740-779,81-90,29-36,NH,Refinance,Primary,Co-op,ServicerC,2021
LN0003314,2020-07,123000,2.875,360,<620,<=60,44-50,NE,Cash-Out Refinance,Primary,Condo,ServicerC,2020
LN0003315,2022-12,254000,4.3,360,660-699,<=60,29-36,KS,Cash-Out Refinance,Primary,Condo,ServicerB,2022
LN0003316,2022-10,77000,6.75,180,740-779,61-70,44-50,WY,Purchase,Primary,Single Family,ServicerD,2022
LN0003317,2022-09,141000,3.5,360,700-739,<=60,37-43,SD,Purchase,Primary,Condo,ServicerA,2022
LN0003318,2018-09,203000,2.49,180,<620,81-90,37-43,NV,Purchase,Primary,Single Family,ServicerE,2018
LN0003319,2018-08,116000,2.625,180,740-779,71-80,37-43,SD,Purchase,Primary,Condo,ServicerD,2018
LN0003320,2021-01,177000,2.375,360,740-779,71-80,44-50,KS,Purchase,Primary,Condo,ServicerB,2021
LN0003321,2019-09,128000,3.25,360,700-739,<=60,37-43,NM,Purchase,Primary,Condo,ServicerE,2019
LN0003322,2022-07,101000,3.0,360,<620,81-90,37-43,NH,Refinance,Primary,Multi-Family,ServicerD,2022
LN0003323,2018-09,260000,3.25,360,740-779,<=60,44-50,VT,Cash-Out Refinance,Primary,Multi-Family,ServicerC,2018
LN0003324,2021-09,222000,3.375,240,700-739,>100,44-50,DE,Cash-Out Refinance,Primary,Single Family,ServicerA,2021
LN0003325,2018-04,289000,5.75,180,740-779,81-90,37-43,RI,Cash-Out Refinance,Primary,Condo,ServicerD,2018
LN0003326,2020-08,111000,3.625,360,740-779,71-80,44-50,DE,Refinance,Primary,Co-op,ServicerC,2020
LN0003327,2021-05,536000,2.25,360,740-779,81-90,37-43,NH,Purchase,Primary,Co-op,ServicerE,2021
LN0003328,2020-08,80000,2.5,360,700-739,71-80,37-43,RI,Purchase,Primary,Multi-Family,ServicerA,2020
LN0003329,2019-07,380000,9.01,360,620-659,61-70,44-50,NH,Refinance,Primary,Co-op,ServicerB,2019
LN0003330,2020-10,168000,7.0,180,740-779,71-80,44-50,ID,Cash-Out Refinance,Primary,PUD,ServicerC,2020
LN0003331,2018-12,90000,3.375,360,740-779,81-90,44-50,ND,Refinance,Primary,Multi-Family,ServicerD,2018
